지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
경기도,대보건설(주) 성남(구리방향)주유소,경기 성남시 수정구 산성대로 41,알뜰(ex),031-759-0178,Y,-,1672,1512,-
경기도,아시아셀프주유소,경기 성남시 중원구 둔촌대로 235 (하대원동),SK에너지,031-758-5111,Y,-,1684,1534,-
경기도,하이테크에너지(주),경기 성남시 중원구 순환로 128,SK에너지,031-745-5189,Y,-,1685,1535,-
경기도,지에스칼텍스㈜직영 성남제일주유소,경기 성남시 수정구 성남대로 1268 (태평동),GS칼텍스,031-753-2217,N,1889,1689,1579,1350
경기도,(유)동하석유 송파IC주유소,경기 성남시 수정구 헌릉로 893,SK에너지,031-752-0893,Y,1883,1693,1563,-
경기도,엑스포주유소 (주)해성에너지,경기 성남시 중원구 순환로 75 (상대원동),S-OIL,031-739-9353,Y,-,1695,1535,-
경기도,산성주유소,경기 성남시 수정구 산성대로 607 (양지동),GS칼텍스,031-747-5766,Y,-,1695,1555,-
경기도,가야주유소,경기 성남시 중원구 경충대로 2590 (갈현동),HD현대오일뱅크,031-754-5102,Y,-,1695,1545,1500
경기도,이루고에너지,경기 성남시 중원구 경충대로 2441 (갈현동),HD현대오일뱅크,031-603-2657,Y,1945,1695,1545,-
경기도,섬마을주유소,경기 성남시 중원구  희망로 87 (도촌동),SK에너지,031-721-1199,N,-,1697,1567,-
경기도,지에스칼텍스㈜ 하대원주유소,경기 성남시 중원구 둔촌대로 200,GS칼텍스,031-755-5189,N,1918,1698,1538,1398
경기도,남선석유㈜ 구도일주유소 해성,경기 성남시 중원구 제일로 14 (하대원동),S-OIL,031-751-2222,N,-,1698,1538,1389
경기도,MOT플러스,경기 성남시 수정구 산성대로 463 (단대동),S-OIL,031-735-2942,N,-,1698,1568,-
경기도,분당탑주유소,경기 성남시 분당구 판교로 751 (야탑동),SK에너지,031-702-4983,N,-,1704,1560,-
경기도,(주)삼표에너지 야탑주유소,경기 성남시 분당구 돌마로 910,GS칼텍스,031-706-5145,Y,-,1704,1560,-
경기도,분당로마도시고속주유소,경기 성남시 분당구 수내로 2 (수내동),GS칼텍스,031-715-0445,Y,1933,1706,1596,-
경기도,분당로주유소,경기 성남시 분당구 대왕판교로 381 (백현동),GS칼텍스,031-708-0443,Y,1905,1709,1545,-
경기도,궁내동주유소,경기 성남시 분당구 대왕판교로 270,HD현대오일뱅크,031-716-1622,Y,1928,1709,1555,-
경기도,㈜헨지스에너지 구도일주유소 톨게이트,경기 성남시 분당구 대왕판교로 263,S-OIL,031-786-1070,N,1915,1709,1545,-
경기도,SK공단주유소,경기 성남시 중원구 둔촌대로 413,SK에너지,031-743-6060,N,-,1718,1609,-
경기도,HD현대오일뱅크㈜직영 지알씨주유소,경기 성남시 분당구 성남대로407번길 13,HD현대오일뱅크,031-715-0755,N,1929,1718,1598,-
경기도,SK에너지(주) 단대주유소,경기 성남시 수정구 희망로 530 (산성동),SK에너지,031-743-9401,Y,-,1719,1569,-
경기도,NH하나로주유소,경기 성남시 분당구 성남대로43번길 11,NH-OIL,031-738-9207,Y,-,1720,1559,1550
경기도,판교하이웨이주유소,경기 성남시 수정구 대왕판교로 1015,HD현대오일뱅크,031-756-5189,Y,1897,1724,1564,-
경기도,한강에너지(주),경기 성남시 중원구 여수대로 147 (여수동),SK에너지,031-759-2834,Y,-,1725,1565,-
경기도,HD현대오일뱅크㈜직영 위례현대주유소,경기 성남시 수정구 성남대로 1529,HD현대오일뱅크,031-757-0551,N,1959,1727,1585,1449
경기도,㈜소모 동화주유소,경기 성남시 분당구 돌마로 176 (정자동),GS칼텍스,031-713-3433,Y,1925,1728,1598,-
경기도,HD현대오일뱅크㈜직영 남문주유소,경기 성남시 수정구 성남대로 1301 (태평동),HD현대오일뱅크,031-751-0941,N,1939,1729,1599,-
경기도,SK KH에너지 판교모드니주유소,경기 성남시 분당구 동판교로 42 (백현동),SK에너지,031-8017-5153,Y,1975,1737,1617,-
경기도,HD현대오일뱅크㈜직영 경원셀프주유소,경기 성남시 수정구 성남대로 1414 (복정동),HD현대오일뱅크,031-751-6051,Y,1969,1739,1595,-
경기도,금광주유소,경기 성남시 중원구 금상로 79 (금광동),HD현대오일뱅크,031-733-2277,N,-,1755,1599,1450
